SL_NO,gRNA_name,AA_0_ABS_GT,AA_50_ABS_GT,AA_75_ABS_GT,AA_100_ABS_GT,AA_150_ABS_GT
191,RPB7-NRg-3,2.1747,3.3438,3.6231,3.8106,6.2913
781,RPB8-NRg-1,1.9794,2.6456,3.3312,3.2455,5.2951
782,RPB8-NRg-1,2.0033,2.4027,3.2279,3.2644,5.4174
829,RPB8-NRg-1,1.9482,2.523,3.3793,3.1405,5.1678
203,RPC37-NRg-1,2.0519,2.9992,3.492,3.4231,5.3998
204,RPC37-NRg-1,2.1054,2.761,3.8291,3.3518,5.9568
251,RPC37-NRg-1,2.0124,2.9912,3.5039,3.4894,5.6133
597,RPC37-TRg-1,2.0606,2.6699,3.4583,2.9984,5.2014
598,RPC37-TRg-1,2.0607,2.4578,3.5246,3.0341,5.0759
645,RPC37-TRg-1,2.0634,2.5927,3.5464,2.9375,4.7346
787,RPC37-TRg-5,2.0354,2.615,3.5145,3.1898,5.5316
788,RPC37-TRg-5,1.9678,2.5598,3.409,3.1311,5.1934
835,RPC37-TRg-5,2.0063,2.5936,3.5719,3.071,4.8147
699,RPC37-TRg-6,2.1023,2.6199,3.6177,3.1058,5.2539
700,RPC37-TRg-6,2.0461,2.5478,3.5992,3.069,4.7435
747,RPC37-TRg-6,2.1462,2.5408,3.6301,3.1528,4.6876
1445,RPL17A-NRg-4,1.9374,2.8098,3.6772,3.4022,6.1937
1446,RPL17A-NRg-4,1.8601,2.7661,3.5886,3.0924,6.3903
1493,RPL17A-NRg-4,1.9961,2.8242,3.5181,3.6532,6.9266
2127,RPL17A-TRg-1,1.9273,2.7063,3.1747,3.1989,4.8489
2128,RPL17A-TRg-1,1.8675,2.8115,3.3336,3.2759,5.0092
2175,RPL17A-TRg-1,1.9499,2.6782,2.9668,3.432,5.1801
2809,RPL17A-TRg-2,2.0075,2.5006,3.0298,3.673,5.5506
2810,RPL17A-TRg-2,2.073,2.5428,3.2059,3.8871,5.3969
2857,RPL17A-TRg-2,2.0601,2.8872,3.1833,3.5969,5.8477
2531,RPL17A-TRg-3,1.9334,2.5238,3.0704,3.3939,4.9981
2532,RPL17A-TRg-3,1.8931,2.5983,3.1523,3.4526,5.2413
2579,RPL17A-TRg-3,1.9219,2.6116,3.2372,3.4306,5.0259
1549,RPL25-NRg-1,2.1507,2.9065,3.4265,3.5815,5.9131
